attack_type,attack_vector,system_affected,downtime_hours,records_compromised,detection_delay_minutes,security_level,operational_loss
Ransomware,Email,PACS,4,16222,134,Low,4456353.8
Phishing,Network,PACS,4,66789,285,High,4979026.6
DDoS,Network,PACS,2,6306,137,Medium,1152855.4
DDoS,Network,Billing,9,13916,112,Medium,2145191.0
Malware,Network,PACS,11,82958,240,Low,15488125.4
Phishing,USB,PACS,17,89171,47,High,6737321.199999999
Malware,USB,EHR,37,90613,283,High,9373151.0
Phishing,USB,EHR,11,28502,133,Low,6230459.0
Ransomware,Email,PACS,22,18117,93,Low,6199466.0
Ransomware,USB,PACS,48,21565,153,Low,8997028.4
Ransomware,Network,PACS,39,57063,11,High,7400728.899999999
DDoS,Network,EHR,40,13705,6,High,2498358.0
DDoS,USB,PACS,5,44363,179,Low,8926433.8
Ransomware,Email,EHR,6,43695,257,Low,13578475.0
Phishing,USB,PACS,25,27309,58,Medium,4293994.8
Phishing,Email,Billing,29,89391,150,Low,14229213.0
Phishing,USB,Billing,15,54400,67,Low,8584863.0
Ransomware,Email,Billing,17,19697,5,Low,5380677.0
Ransomware,USB,Billing,29,94307,244,Low,22572946.0
DDoS,Network,EHR,14,89599,194,Medium,15920069.0
Malware,Network,EHR,44,24084,203,Low,7978492.0
Malware,Network,PACS,31,70325,66,High,6203356.35
Ransomware,Network,Billing,25,53541,176,High,5835197.5
Phishing,Network,PACS,25,47406,9,High,3965401.9999999995
Malware,Network,PACS,28,53121,87,High,4816806.05
Phishing,Network,Billing,22,99410,223,Low,15463599.0
Phishing,Network,Billing,29,16778,143,Low,3810079.0
Malware,Email,EHR,2,48789,73,High,4566315.0
DDoS,Email,PACS,30,75010,140,Medium,12131618.0
Malware,USB,EHR,18,36189,88,High,3845784.9999999995
Malware,Network,EHR,29,23068,284,High,3007329.0
Phishing,Network,Billing,12,19939,163,Medium,2645106.0
DDoS,Email,EHR,25,68498,2,Medium,12814787.0
Malware,Email,Billing,40,83575,282,Medium,11342325.0
DDoS,USB,PACS,26,62721,16,High,5923552.1
Phishing,Network,Billing,18,45876,55,Low,7383999.0
Malware,Email,Billing,3,36233,29,High,2594017.75
DDoS,Email,PACS,19,21633,85,Medium,3948178.3999999994
Ransomware,USB,Billing,37,10469,113,Low,4811396.0
Phishing,USB,Billing,11,75391,6,Medium,8457388.0
DDoS,Network,PACS,39,35190,198,Medium,6894026.399999999
Malware,Network,PACS,18,3172,280,Low,1814450.6
Ransomware,Network,Billing,34,88889,289,High,9494802.5
Malware,USB,PACS,15,34248,140,Low,7006022.4
Phishing,Email,PACS,24,56389,39,Low,10436909.600000001
Phishing,Email,Billing,38,70330,233,Low,11926936.0
Ransomware,Email,Billing,1,63604,229,High,6175860.0
Phishing,Network,EHR,11,36944,100,Medium,5911646.0
DDoS,Network,Billing,6,99024,183,Medium,12806363.0
Phishing,Network,Billing,30,40617,285,Medium,5557237.0
Ransomware,USB,Billing,33,12579,76,High,2135912.5
DDoS,Email,PACS,22,94391,130,Low,19415722.400000002
Ransomware,Email,PACS,5,7635,25,Low,2230119.0
DDoS,Network,PACS,22,151,26,Low,1268944.7999999998
Malware,USB,Billing,3,60608,41,Medium,7202232.0
Phishing,USB,Billing,27,91443,37,Low,14413224.0
Malware,USB,Billing,8,10579,239,Medium,1733134.0
Malware,Network,Billing,27,91386,251,Medium,11796520.0
DDoS,Email,EHR,25,44856,209,High,5294151.999999999
Ransomware,Network,PACS,47,58731,175,High,7871067.1
Malware,Email,EHR,29,2665,137,Medium,1880260.0
Phishing,Network,PACS,5,27967,116,Medium,3730420.1999999997
Ransomware,Email,Billing,18,22269,54,Medium,4539742.0
Malware,USB,EHR,9,10028,153,High,1281598.0
Phishing,Network,EHR,38,78591,83,Low,17375690.0
Ransomware,USB,EHR,2,40449,288,Low,12290328.0
Phishing,Network,PACS,21,10034,197,Low,2893388.2
Ransomware,Email,PACS,11,57937,204,Low,15240675.8
DDoS,Network,Billing,44,92523,194,Medium,13480586.999999998
Ransomware,Email,PACS,28,13387,83,Medium,4066346.0
Malware,Email,PACS,5,30302,107,High,2512563.4
Malware,Email,PACS,8,69801,186,Medium,9706333.2
Phishing,USB,Billing,32,22821,149,High,2126168.0
Malware,USB,EHR,36,10276,47,Low,4492075.0
Ransomware,USB,EHR,32,85427,129,Medium,20694011.0
Ransomware,Network,EHR,12,78868,279,High,10584662.0
Ransomware,Email,PACS,38,35500,299,Low,11881055.200000001
Phishing,USB,EHR,22,27234,20,High,2804176.0
Ransomware,Network,Billing,1,84015,125,High,8073116.499999999
Phishing,USB,EHR,6,2131,282,Medium,815213.0
Ransomware,Email,Billing,31,64738,238,Medium,12222026.0
Ransomware,Email,EHR,40,75913,229,Medium,19329873.0
Ransomware,Email,EHR,22,94856,14,Low,29226261.0
DDoS,Email,Billing,19,5558,188,Medium,1552237.0
DDoS,Network,Billing,2,82153,143,High,6160568.5
Malware,USB,Billing,16,51874,188,Medium,6767265.0
DDoS,USB,EHR,30,38440,84,High,4732467.0
DDoS,Network,PACS,33,63859,289,High,6284118.899999999
Ransomware,Network,EHR,2,18813,123,High,2521071.0
DDoS,USB,PACS,31,12878,179,High,1979816.5999999999
Ransomware,Network,PACS,28,3818,278,Medium,2528019.6
Phishing,USB,PACS,37,39425,99,Low,8307332.800000001
Ransomware,Email,PACS,26,74254,234,Medium,15277473.799999999
Ransomware,Network,PACS,21,11123,79,Medium,3237022.1999999997
Phishing,Network,PACS,24,31150,237,Medium,4882372.8
DDoS,Network,PACS,45,4700,153,High,1607094.4
Phishing,Email,Billing,22,53338,126,Low,8726273.0
Malware,Network,Billing,7,47121,81,Low,7740409.0
Phishing,Email,Billing,15,64736,237,Low,10213542.0
Malware,Email,EHR,3,78783,44,High,7249568.0
DDoS,USB,EHR,16,26935,207,High,3207430.0
DDoS,USB,PACS,38,39957,81,High,4357671.899999999
Ransomware,USB,EHR,32,74081,99,Low,24271634.0
Malware,Network,PACS,28,47541,235,High,4448250.85
DDoS,Network,Billing,28,7463,66,Low,2690765.0
Ransomware,Email,PACS,12,76152,108,High,8594853.0
DDoS,Network,EHR,28,66583,151,High,7422158.999999999
Ransomware,Network,Billing,23,29631,137,Medium,6059173.0
Malware,Email,Billing,32,80602,218,High,6234591.5
Ransomware,Network,PACS,17,78321,211,Medium,15532105.2
Phishing,USB,Billing,26,76371,76,Medium,9172913.0
Malware,Email,Billing,3,80783,171,Medium,9694020.0
DDoS,USB,PACS,47,25155,164,Medium,5744846.2
Phishing,Network,PACS,19,2058,102,Low,1346728.0
DDoS,USB,Billing,34,35292,222,Medium,5851629.0
Ransomware,Network,Billing,11,21471,122,High,2382662.5
DDoS,Email,PACS,35,8024,49,High,1608064.4
Malware,Email,Billing,34,22780,256,Low,5371239.0
Malware,Email,Billing,40,43483,149,Medium,6635221.0
Ransomware,USB,Billing,36,82717,149,Medium,15251290.0
Malware,Email,PACS,42,43086,168,High,4391746.899999999
DDoS,Network,Billing,47,89381,294,High,7695657.499999998
Ransomware,Network,Billing,17,72826,251,Medium,12826127.0
Ransomware,USB,Billing,46,50594,171,High,6177440.0
Ransomware,Network,EHR,8,88707,219,High,11606295.0
Phishing,Email,EHR,46,19212,178,High,2852655.0
Malware,Network,PACS,48,9986,118,Medium,3299224.4
Malware,Network,EHR,40,77329,106,High,8182029.999999999
Malware,Email,EHR,23,13969,251,High,2050313.9999999998
Phishing,Network,EHR,38,52838,62,Low,12365711.0
DDoS,Email,EHR,3,66284,271,Low,15443670.0
Ransomware,Email,PACS,3,23094,36,High,2640376.0
DDoS,USB,PACS,9,62394,125,High,5435936.199999999
DDoS,Email,EHR,25,9917,251,Medium,3178694.0
Malware,Network,Billing,30,51965,224,Medium,7248262.0
DDoS,Network,PACS,47,8607,159,High,1944909.2999999998
Malware,USB,PACS,13,29613,241,Low,6165576.2
Malware,USB,EHR,13,65861,66,Low,14640130.0
DDoS,Network,EHR,10,41482,111,Medium,7565725.0
Ransomware,Network,Billing,23,9340,242,Medium,2892089.0
DDoS,Network,EHR,43,89166,266,Low,23174559.0
Malware,Email,EHR,20,80389,280,High,8033562.999999999
Ransomware,Email,Billing,21,29503,13,Medium,5813991.0
Phishing,Email,PACS,4,40648,252,High,3067807.0
Ransomware,Network,Billing,20,23992,241,High,3010407.0
Ransomware,Network,Billing,48,31505,213,High,4474314.5
DDoS,USB,PACS,39,74563,180,Medium,12478907.4
Phishing,Network,EHR,17,6048,25,High,920534.9999999999
Ransomware,Network,Billing,2,8499,279,Medium,1760436.0
DDoS,Email,EHR,16,61642,22,Low,14938166.0
DDoS,USB,EHR,43,879,159,High,1468460.9999999998
DDoS,Email,PACS,46,35337,63,High,4114752.4999999995
Phishing,Network,EHR,39,80888,229,High,7885316.999999999
Malware,Email,PACS,45,48941,153,High,4891628.649999999
Ransomware,USB,PACS,7,93060,155,Low,23493115.0
Ransomware,Network,Billing,18,79152,241,Medium,13893765.0
Malware,Network,Billing,39,59306,71,High,4919878.0
Ransomware,Network,EHR,48,8550,270,High,3102251.0
Malware,Email,PACS,19,17830,252,High,1940552.7
DDoS,USB,EHR,1,24930,256,High,2662962.9999999995
Malware,USB,PACS,45,56689,214,High,5575163.55
Malware,Network,EHR,10,88964,175,High,8492698.0
Phishing,Network,PACS,29,77894,126,High,6272324.0
Ransomware,Network,EHR,10,6025,20,Low,2626223.0
Malware,Email,Billing,15,41449,131,Low,7319361.0
Malware,Network,EHR,27,46261,56,Low,11391003.0
Ransomware,USB,Billing,32,29980,224,High,3838155.9999999995
Phishing,Network,EHR,47,47142,72,Low,11827732.0
Ransomware,Email,EHR,45,58689,282,High,9335675.0
Phishing,Network,EHR,25,20831,121,High,2483919.0
Malware,Network,EHR,7,73794,250,Low,16146478.0
Ransomware,Email,PACS,15,63555,6,Medium,12543606.6
Ransomware,USB,PACS,41,98905,122,Low,27390764.6
Malware,Network,PACS,29,96439,20,Low,18566023.2
DDoS,Network,EHR,18,37544,184,Low,9883512.0
Ransomware,Email,Billing,40,16511,246,Low,6505008.0
Malware,USB,EHR,5,79561,150,Medium,12759660.0
Ransomware,Network,Billing,47,95890,17,Medium,17861517.0
DDoS,Network,PACS,31,96109,124,Low,20256967.2
Phishing,Network,PACS,8,38679,109,Medium,5129888.2
Phishing,Email,EHR,38,90759,21,High,8579149.0
Malware,Email,Billing,28,43579,51,Low,8138857.0
DDoS,Email,EHR,34,41357,186,High,5185856.999999999
Ransomware,Email,Billing,28,5212,30,Low,2978307.0
Malware,Network,PACS,2,4902,179,High,480533.6
Ransomware,Network,PACS,5,585,5,High,243665.5
DDoS,Network,Billing,16,95667,104,Low,16994744.0
Phishing,USB,EHR,28,15615,120,High,2075839.9999999998
Malware,Network,PACS,21,52658,99,Medium,7847099.199999999
DDoS,Email,Billing,21,64945,297,Medium,9227283.0
Malware,Email,PACS,13,66898,29,Medium,9450803.2
Malware,Email,EHR,42,86082,77,High,8996893.0
Ransomware,USB,PACS,4,13672,250,Low,4044194.6
Ransomware,USB,EHR,44,20476,25,Medium,7341792.0
Ransomware,USB,Billing,38,52631,13,Low,13806235.0
Ransomware,Email,PACS,38,77485,56,Medium,16405094.6
Ransomware,Email,PACS,8,92973,237,High,10367336.5
Malware,USB,Billing,13,91668,49,High,6493221.5
Malware,USB,PACS,47,48206,279,Low,11339524.0
Malware,Email,Billing,48,10761,106,Medium,3007439.0
Ransomware,Network,Billing,18,18057,242,Low,5374478.0
Ransomware,Network,EHR,33,82760,156,Low,26999621.0
Phishing,Email,EHR,11,99560,298,Low,20113029.0
Phishing,Email,PACS,16,48767,244,High,3953378.4
DDoS,Email,PACS,45,87103,200,Medium,14576154.4
Phishing,Email,PACS,21,46602,3,Medium,6430376.0
Ransomware,Email,PACS,16,67362,216,Low,17991306.400000002
Malware,USB,EHR,18,69843,123,High,6871999.0
Ransomware,USB,Billing,43,90641,163,High,9911216.5
DDoS,USB,EHR,27,65227,46,High,7165332.0
DDoS,Network,Billing,20,18813,261,Medium,3320123.9999999995
Malware,Email,EHR,8,93638,45,Low,20057073.0
DDoS,Network,PACS,15,28019,71,Low,6276187.0
Malware,USB,PACS,30,43983,81,High,4115417.15
Malware,Email,EHR,9,62442,22,High,5939217.0
DDoS,Network,EHR,29,49653,192,Low,13374143.0
Malware,Network,Billing,8,4624,208,Medium,929125.0
Ransomware,Network,EHR,33,40748,290,Low,15127828.0
DDoS,Email,Billing,34,92371,261,High,7669886.499999999
DDoS,USB,EHR,14,78298,138,High,8169312.999999999
Phishing,Email,PACS,34,57613,245,High,4918612.199999999
Ransomware,Email,PACS,45,72490,279,High,9360784.399999999
Ransomware,Network,PACS,41,88559,265,Medium,18836477.4
Ransomware,USB,PACS,15,19791,282,Low,6355577.4
DDoS,Network,PACS,39,53421,44,Medium,9310607.0
DDoS,Email,EHR,25,35013,240,Medium,7392719.0
Ransomware,Email,EHR,11,44693,159,Medium,10592775.0
Phishing,Network,PACS,7,30252,41,Low,5328068.600000001
DDoS,Email,EHR,11,13339,288,High,1815868.0
Ransomware,USB,EHR,28,27306,291,Medium,8044715.0
DDoS,Email,EHR,38,98577,275,Low,24974373.0
Malware,USB,PACS,26,94753,60,Medium,13632612.799999999
Phishing,Email,PACS,20,20320,154,High,1909067.5999999999
DDoS,Email,EHR,29,97061,95,High,10469222.999999998
Phishing,USB,PACS,21,49254,107,Low,9215016.200000001
DDoS,Email,PACS,32,11022,152,High,1804238.2
Phishing,Email,EHR,38,64516,173,High,6435250.0
DDoS,USB,EHR,17,60011,32,High,6382879.0
Malware,Email,EHR,13,85358,81,Low,18672415.0
Phishing,Email,Billing,18,53054,92,Medium,6392759.0
Ransomware,Network,EHR,5,38143,120,Medium,8677640.0
Phishing,Email,PACS,14,16326,280,High,1633009.4
Malware,USB,PACS,34,33933,70,Low,7838590.4
Malware,USB,Billing,32,20161,183,Low,4765493.0
Malware,Email,EHR,32,30903,294,High,3805242.9999999995
Ransomware,Network,Billing,46,85548,57,Low,21526512.0
Phishing,Email,EHR,29,476,248,Low,2070499.0
Ransomware,Network,EHR,38,38551,265,Medium,11127133.0
Ransomware,Email,EHR,19,66595,117,High,9178808.0
Ransomware,Network,EHR,10,85942,58,Medium,19313537.0
Phishing,Network,EHR,29,10435,25,High,1590609.0
Phishing,Email,PACS,45,38726,181,Low,8652726.4
Ransomware,USB,EHR,16,60864,150,Medium,14419829.0
Ransomware,Network,EHR,42,64303,117,High,9745898.0
Phishing,USB,PACS,5,75190,247,High,5614217.8
DDoS,Email,PACS,19,71577,191,High,6512680.899999999
DDoS,Email,PACS,44,67788,269,High,6899145.6
DDoS,USB,PACS,41,89929,90,Medium,14719840.2
DDoS,USB,EHR,30,62254,260,Medium,12263180.0
Ransomware,USB,Billing,10,78912,29,High,7751455.999999999
DDoS,Network,EHR,1,90710,257,Medium,15514029.0
Malware,Email,PACS,9,67483,226,High,5574786.649999999
Ransomware,USB,EHR,43,38252,97,Medium,11214909.0
Ransomware,Network,PACS,40,92476,179,Low,25845851.0
Phishing,Network,Billing,47,46124,240,Low,8850124.0
Phishing,Email,Billing,21,34095,231,Medium,4540208.0
Malware,USB,EHR,29,24404,201,Low,7178266.0
Malware,USB,PACS,16,75866,152,Medium,10792425.799999999
Ransomware,USB,EHR,32,98963,239,High,13869738.0
Phishing,Network,PACS,39,34844,137,High,3390450.4
Ransomware,Email,PACS,11,82511,271,Low,21394795.6
Phishing,Email,EHR,20,62338,23,Low,13195328.0
Phishing,USB,EHR,6,84596,293,Low,16891050.0
DDoS,Network,EHR,43,84402,267,Low,22138497.0
Phishing,Email,PACS,10,32999,30,Low,5885418.800000001
Ransomware,Network,Billing,40,7206,253,Low,4429743.0
Phishing,USB,Billing,29,82660,136,Medium,9959468.0
DDoS,Network,Billing,5,54276,187,Low,9586418.999999998
Phishing,Email,Billing,40,71786,140,Low,12137083.0
Malware,USB,EHR,48,61365,129,Low,15900187.0
Phishing,USB,EHR,11,42285,223,High,3950535.9999999995
DDoS,Email,EHR,40,71074,173,Medium,14124504.0
DDoS,USB,Billing,47,73558,184,High,6508741.0
Phishing,Email,PACS,25,96192,165,Low,17035551.400000002
Ransomware,USB,EHR,10,1916,147,High,709437.0
Malware,Network,PACS,35,33990,182,Low,8079013.600000001
DDoS,Network,EHR,9,23651,14,Medium,4425418.999999999
Malware,Email,Billing,12,61070,78,High,4412904.5
Malware,USB,EHR,33,34167,190,Low,9389484.0
DDoS,USB,PACS,25,26981,267,Low,6873233.2
Malware,USB,EHR,43,45741,102,Low,12302367.0
Phishing,Email,PACS,44,29542,120,High,3093871.8
DDoS,Email,PACS,18,22430,69,Medium,4079727.1999999993
DDoS,Network,Billing,5,7769,23,High,715853.5
Ransomware,Email,EHR,35,47449,63,Low,16836097.0
Phishing,Network,EHR,48,80023,170,Medium,13695194.0
Phishing,Email,PACS,35,41558,154,High,3823776.8
DDoS,Email,PACS,41,36306,159,Medium,7041726.0
Malware,USB,Billing,45,78531,248,High,6347975.75
Malware,Network,PACS,23,16031,224,Low,4285283.0
DDoS,Email,Billing,13,53789,48,Medium,7298707.999999999
Phishing,Email,Billing,34,41241,241,High,3354796.0
Phishing,Email,PACS,1,42557,139,Medium,5385737.399999999
DDoS,USB,EHR,25,79538,165,Medium,14750069.0
Phishing,USB,EHR,42,9541,19,High,1883642.9999999998
Ransomware,USB,Billing,45,41525,158,Medium,9035745.0
Ransomware,USB,PACS,15,39989,40,Low,10983246.200000001
Phishing,USB,PACS,8,32091,135,Low,5798337.2
Phishing,Email,EHR,20,24502,219,Medium,4631304.0
Malware,USB,Billing,20,78216,101,High,5810978.5
Ransomware,Network,Billing,1,51530,146,High,4985182.0
Phishing,USB,Billing,17,74211,164,Medium,8685861.0
DDoS,Email,Billing,5,63526,247,High,4927832.0
DDoS,Email,EHR,12,27867,79,High,3164619.0
DDoS,USB,EHR,4,98288,72,High,9781899.0
Malware,USB,PACS,48,47779,129,Medium,8393259.8
Ransomware,Network,EHR,8,76645,125,Low,22952713.0
Ransomware,Email,PACS,32,13241,6,Medium,4209223.2
Malware,Email,Billing,18,13988,67,High,1336841.5
Phishing,Network,PACS,18,3233,18,Low,1388958.2000000002
Ransomware,Network,PACS,5,99207,203,Medium,18681769.0
Phishing,Email,Billing,29,6979,94,Medium,1789716.0
DDoS,USB,Billing,18,66447,220,Medium,9208948.0
Malware,Network,PACS,46,70011,252,Medium,11306102.799999999
Ransomware,Network,Billing,45,60808,129,High,7080886.0
DDoS,Email,EHR,13,71424,294,Medium,12969560.0
Phishing,USB,EHR,47,65771,158,Medium,11624826.0
Phishing,Email,Billing,22,72162,43,Low,11367629.0
Ransomware,Email,PACS,36,86390,43,High,10450720.799999999
Ransomware,Email,PACS,2,58737,226,High,6450578.3
Ransomware,Network,PACS,33,90269,126,High,10843676.5
Malware,USB,EHR,11,20911,53,High,2183778.0
Malware,Network,Billing,46,67226,248,High,5676757.5
Malware,Network,Billing,13,87801,113,High,6270001.75
Ransomware,Network,EHR,31,95984,46,High,13321797.0
Phishing,Network,Billing,46,3651,20,High,1069721.0
Ransomware,USB,Billing,24,65913,292,Low,16209049.0
DDoS,USB,EHR,8,53415,95,Low,12662326.0
Phishing,Network,Billing,18,79542,75,High,5385827.0
Malware,Network,EHR,45,29603,185,Medium,6914114.0
Phishing,Network,Billing,45,86965,283,Low,14686313.0
Malware,Email,PACS,2,97097,17,Low,17269762.2
Ransomware,Network,PACS,9,42457,50,Low,11161991.600000001
Ransomware,USB,PACS,22,26872,82,Medium,6189452.399999999
Phishing,USB,EHR,39,76433,100,High,7484774.999999999
Malware,Network,Billing,47,24271,158,Medium,4588974.0
Phishing,Email,Billing,23,22472,83,Low,4304609.0
Ransomware,USB,PACS,12,67925,36,High,7637355.1
DDoS,Network,PACS,45,54711,33,Medium,9768007.2
Malware,Network,PACS,19,60625,130,Medium,8916374.0
Malware,Network,Billing,28,24667,73,Medium,3946159.0
Ransomware,Email,Billing,37,67095,269,Low,17229489.0
DDoS,Email,Billing,18,21107,21,Low,4477752.999999999
DDoS,Email,Billing,22,52120,209,High,4360656.0
Malware,Email,EHR,39,68817,161,Medium,12670787.0
Phishing,Email,EHR,18,49980,86,Low,10760495.0
DDoS,USB,PACS,28,7450,183,Medium,2445684.4
Ransomware,Email,PACS,12,83478,111,Low,21524876.200000003
DDoS,Email,EHR,43,9128,211,Low,5212666.0
Malware,USB,PACS,14,12443,183,High,1398500.3499999999
Phishing,USB,EHR,45,61886,141,Low,14680381.0
Malware,Email,PACS,26,40210,186,Medium,6466449.6
DDoS,Network,EHR,9,3296,235,Medium,1253094.9999999998
Ransomware,Network,PACS,23,51861,284,Medium,11073553.0
Malware,Network,EHR,44,91210,290,Medium,16532003.0
Malware,Email,EHR,36,68038,175,Medium,12491424.0
Malware,USB,PACS,39,90797,66,High,7979597.55
DDoS,Email,Billing,9,38142,134,Low,7006854.0
DDoS,Network,EHR,10,16425,170,Low,4589437.0
DDoS,USB,EHR,15,79116,95,Medium,14164500.0
Malware,Email,EHR,26,78284,292,Medium,13688460.0
Phishing,Email,PACS,40,27958,256,Low,6819591.800000001
Phishing,Email,EHR,43,16030,215,Medium,4381231.0
DDoS,Email,Billing,10,60743,177,High,4810629.5
Malware,Email,Billing,17,91494,58,High,6610078.5
Malware,Network,Billing,5,57145,236,Low,9378785.0
Malware,Email,PACS,42,6620,197,Medium,2696668.1999999997
Ransomware,Email,Billing,22,84616,127,Low,19817336.0
DDoS,Email,EHR,3,79293,111,High,7942980.999999999
Ransomware,USB,PACS,8,74423,63,High,8232730.1
DDoS,USB,EHR,19,22899,262,High,2923290.0
Ransomware,Email,EHR,3,7146,123,Medium,1870187.0
Phishing,Network,EHR,42,31593,283,High,3817835.9999999995
Phishing,USB,Billing,36,56036,112,Medium,7288199.0
DDoS,Email,Billing,36,6948,34,Medium,2263172.0
Ransomware,Email,Billing,45,58135,146,Medium,11722188.0
DDoS,Email,Billing,8,38055,186,High,3091337.5
Malware,USB,PACS,34,1452,27,High,880774.8999999999
Phishing,Email,PACS,5,51988,174,High,3930914.8
Ransomware,Network,Billing,3,75560,9,High,7224162.0
Phishing,Network,EHR,42,37855,99,Low,9765305.0
Ransomware,USB,EHR,7,52210,246,High,6979274.0
Malware,Email,PACS,5,47648,265,High,3947519.3
Ransomware,Email,EHR,21,68143,81,High,9444944.0
Ransomware,Email,PACS,44,10271,130,High,2601791.0999999996
Phishing,Email,EHR,36,58469,22,High,5818267.0
Malware,Network,Billing,47,19579,192,High,2333650.75
Malware,Network,Billing,18,76807,128,Medium,9737537.0
Phishing,USB,PACS,45,4049,205,Low,3021382.8000000003
DDoS,Email,EHR,17,95235,231,Low,22770949.0
Malware,Email,Billing,33,3114,216,High,1006431.4999999999
Malware,USB,EHR,40,87658,127,Medium,15692089.0
Ransomware,USB,Billing,3,32731,14,High,3173072.5
Malware,Network,EHR,48,73218,180,High,8033140.999999999
Malware,Email,PACS,43,82734,234,Medium,12901634.799999999
DDoS,Network,PACS,48,16544,99,Medium,4456851.399999999
Phishing,Email,PACS,25,68368,230,Low,12650706.600000001
Ransomware,Email,PACS,21,4086,292,High,1306444.7999999998
Malware,USB,EHR,15,26363,267,Low,6709796.0
Malware,USB,Billing,3,18097,180,Low,3167009.0
Malware,USB,PACS,13,11193,10,High,1204788.5499999998
Ransomware,Email,EHR,30,79941,235,Medium,19525120.0
Malware,USB,Billing,15,17440,166,Low,3541204.0
Ransomware,Network,EHR,46,53625,57,High,8542244.0
Ransomware,Network,PACS,4,84934,266,Medium,16089393.0
Ransomware,Email,Billing,1,43303,26,Medium,7068358.0
Ransomware,Email,EHR,31,72528,85,High,10345263.0
Phishing,Network,EHR,21,29694,166,Low,7118362.0
DDoS,Network,PACS,23,30102,45,Medium,5277417.6
Ransomware,Email,EHR,27,97263,161,Low,30626810.0
DDoS,Network,PACS,43,8485,117,Medium,3193505.6
DDoS,USB,Billing,10,30490,134,High,2480176.0
Phishing,USB,PACS,11,28734,226,Low,5468860.0
DDoS,Network,EHR,47,12778,17,High,2619845.9999999995
Phishing,USB,PACS,8,87483,1,Low,14626128.8
DDoS,Network,Billing,48,48359,154,Medium,8019355.0
Ransomware,USB,Billing,25,42244,66,High,4759489.0
Phishing,USB,Billing,37,30247,242,High,2668929.0
Ransomware,Email,EHR,2,40937,206,Medium,9241083.0
Malware,USB,Billing,38,48720,220,High,4186410.9999999995
Ransomware,Network,PACS,25,51084,134,Medium,10860091.799999999
DDoS,Email,PACS,31,12989,4,High,1835155.9
Phishing,Network,PACS,39,27946,15,High,2814228.4
Malware,Network,PACS,5,228,239,Medium,411751.2
Malware,USB,EHR,18,3582,13,Low,1885860.0
DDoS,Email,EHR,24,56308,137,Medium,10787155.0
Malware,Network,EHR,19,44977,87,High,4618372.0
DDoS,Email,EHR,41,79393,37,Medium,15485226.0
DDoS,USB,EHR,20,53264,106,Low,13385793.0
DDoS,Network,Billing,37,22483,230,Low,5884438.0
Ransomware,USB,PACS,25,92552,248,Low,24852767.0
Phishing,USB,Billing,41,6791,80,Low,2811014.0
Ransomware,USB,Billing,28,23479,153,Medium,5270663.0
Ransomware,Email,Billing,28,74833,296,High,7988375.499999999
Malware,Network,EHR,32,13407,299,Medium,3907847.0
DDoS,USB,PACS,1,80158,158,Low,15459407.4
Malware,USB,Billing,17,12493,246,Medium,2278202.0
Ransomware,Network,Billing,31,50301,183,Low,13160058.0
Phishing,Email,PACS,29,2261,93,Medium,1434862.5999999999
Malware,Email,PACS,44,42251,60,High,4305448.85
